time_s,capture_x_m,release_x_m,encoder_x_m,registration_m,speed_mps,nozzle,nozzle_height_m,zone_min_m,zone_max_m,density,flow_lpm,pwm_percent
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,1,0.5,0.3,0.7,0.0,0.0,0.0
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,2,0.9,0.7,1.1,0.0,0.0,0.0
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,3,1.3,1.1,1.5,0.0,0.0,0.0
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,4,1.7000000000000002,1.5000000000000002,1.9000000000000001,0.0,0.0,0.0
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,5,2.1,1.9000000000000001,2.3000000000000003,0.0,0.0,0.0
3.349999999999996,0.05,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,6,2.5,2.3,2.7,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,1,0.5,0.3,0.7,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,2,0.9,0.7,1.1,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,3,1.3,1.1,1.5,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,4,1.7000000000000002,1.5000000000000002,1.9000000000000001,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,5,2.1,1.9000000000000001,2.3000000000000003,0.0,0.0,0.0
3.349999999999996,0.1,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,6,2.5,2.3,2.7,0.0,0.0,0.0
3.349999999999996,0.15000000000000002,3.399999999999996,3.3510321638291125,3.3510321638291125,1.0,1,0.5,0.3,0.7,0.0,0.0,0.0
